用户          交易时间        操作类型        金额
陈金彭  2016-02-17 02:40:47     还款          1000  
陈金彭  2016-02-17 02:43:07     消费账单          2000  
陈金彭  2016-02-17 02:45:00     取现          2000  
陈金彭  2016-02-17 02:45:12     取现          1000  
陈金彭  2016-02-17 02:45:22     还款          1000  
陈金彭  2016-02-17 03:41:39     取现          1000  
陈金彭  2016-02-17 05:58:31     取现          1000  
陈金彭  2016-02-17 06:00:15     取现          1000  
陈金彭  2016-02-17 06:01:14     取现          1000  
陈金彭  2016-02-17 06:07:01     还款          3000  
陈金彭  2016-02-17 06:15:05     取现          1000  
陈金彭  2016-02-17 06:20:13     取现          1000  
陈金彭  2016-02-17 06:45:48     还款          1000.5  
陈金彭  2016-02-17 07:21:18     取现          1000  
陈金彭  2016-03-11 07:44:43     取现          1000  
陈金彭  2016-03-11 07:46:17     取现          1000  
陈金彭  2016-03-11 07:46:40     还款          2000  
陈金彭  2016-03-11 07:53:39     取现          1000  
root  2016-03-11 07:54:34     取现          1000  
cjp  2016-04-12 08:05:17     取现          2000  
cjp  2016-05-11 08:06:59     取现          2000  
cjp  2016-05-11 08:08:11     还款          4001  
cjp  2016-02-17 08:12:44     取现          2000  
cjp  2016-03-14 08:22:22     还款          2002.0005  
cjp  2016-03-14 08:25:11     取现          2000  
cjp  2016-02-17 08:32:03     取现          2000  
cjp  2016-03-11 08:33:02     还款          2000.1  
cjp  2016-03-11 08:48:04     取现          2000  
cjp  2016-03-11 08:48:30     还款          2000  
cjp  2016-02-17 08:58:46     取现          2000  
陈金彭  2016-03-11 09:01:59     取现          2000  
陈金彭  2016-04-11 09:02:31     还款          2001  
cjp  2016-02-17 09:18:45     取现          2000  
cjp  2016-04-10 09:21:53     还款          2001  
cjp  2016-04-10 09:32:55     取现          2000  
cjp  2016-04-12 09:34:24     还款          2002.0005  
cjp  2016-02-17 09:43:50     取现          2000  
cjp  2016-03-11 09:44:44     还款          2001  
cjp  2016-03-11 09:47:34     取现          2000  
cjp  2016-04-11 09:47:56     还款          2001  
cjp  2016-04-11 09:49:11     取现          2000  
cjp  2016-05-11 09:49:58     还款          1000  
cjp  2016-02-17 10:07:15     取现          2000  
cjp  2016-04-10 10:10:06     还款          2030.2185184345503  
cjp  2016-02-17 10:28:26     取现          2000  
cjp  2016-02-17 12:04:55     还款          2000  
cjp  2016-02-17 12:05:15     取现          2000  
cjp  2016-02-17 12:09:31     还款          2030.2239999999997  
cjp  2016-02-17 12:13:38     取现          2000  
cjp  2016-02-17 13:27:34     取现          2000  
cjp  2016-02-17 13:35:32     取现          2000  
cjp  2016-04-10 13:36:23     还款          2030.219  
cjp  2016-04-10 13:40:26     取现          2000  
cjp  2016-05-11 13:43:19     还款          2001  
cjp  2016-02-17 13:48:36     取现          2000  
cjp  2016-02-17 13:48:43     还款          2000  
cjp  2016-02-17 13:49:05     取现          2000  
cjp  2016-02-17 13:49:11     还款          2000  
cjp  2016-02-17 13:50:20     取现          5000  
cjp  2016-04-10 13:51:28     还款          5075.546  
cjp  2016-02-17 13:52:11     取现          2000  
cjp  2016-02-17 13:52:18     还款          2000  
